id,name,totalUnits,residentsCount,lat,lng
2,Be @ Schermerhorn,246,112,40.6893716,-73.9866769
3,172 Montague,62,38,40.6940946,-73.9922708
4,248 Duffield St,121,18,40.6909584,-73.9846353
5,115 Stanwix,130,312,40.7019596,-73.9353851
6,55 N 5th,158,119,40.7189734,-73.9621145
7,889 Bushwick Ave,55,13,40.6937899,-73.9250748
8,594 Bushwick Ave,64,56,40.6983906,-73.9347167
9,709 Hart St,32,15,40.6996122,-73.9252836
10,64 Bayard St,53,6,40.7188724,-73.9495278
11,29 Harman St,43,26,40.6945072,-73.9248222
12,803 Wyckoff Ave,54,191,40.6981947,-73.90815
13,1 Duffield St,84,12,40.698229,-73.9835998
14,60 Duffield St,60,-,40.6965322,-73.984383
15,774 Grand St,64,1,40.711554,-73.941961
16,12 Eckford,101,55,40.7204909,-73.9476789
17,1433 Dekalb Ave,25,48,40.7004952,-73.9232721
18,542 Saint Mark's Ave,36,50,40.6805029,-73.9624327
21,420 Kent Ave,560,694,40.7100012,-73.9690503
22,10 Nevins St,186,102,40.6885353,-73.9813632
27,10 Montieth St,443,281,40.7012005,-73.9357079
28,328 W 77th,8,2,40.7833372,-73.9834506
29,325 Kent Ave,501,175,40.7132894,-73.9666592
30,240 E 21st,24,7,40.7366892,-73.9825727
31,171 E 84th,219,33,40.7779756,-73.9551546
32,575 3rd St,36,41,40.6694416,-73.9757026
35,245 E 21st,90,36,40.736902,-73.9821123
36,238 E 36th St,40,14,40.7460927,-73.9754275
37,200 Water St,577,524,40.7072187,-74.0047549
38,140 Riverside Blvd,346,97,40.7770886,-73.9887893
40,365 Bridge St,250,40,40.6925905,-73.9849373
41,505 W 37th,835,713,40.7569625,-73.9983749
43,38 Roebling St,30,21,40.7177319,-73.9538029
45,157 Suffolk St,35,17,40.7209687,-73.9854363
46,177 9th Ave,53,9,40.7450569,-74.0027927
47,250 E 35th,13,3,40.7454898,-73.9757339
48,95 Wall St,526,757,40.7047955,-74.0076151
49,255 McKibbin St,59,1,40.7058427,-73.9372122
50,272 Grand St,12,10,40.7130951,-73.958118
51,109-10 Queens Blvd,120,21,40.7200538,-73.8419576
52,31 Monroe St,28,23,40.7117497,-73.9949885
54,25 Broad St,308,158,40.7060521,-74.0110566
56,267 Pacific,60,3,40.6884056,-73.9900297
58,153 Remsen,58,1,40.6936288,-73.9921064
60,Kips Bay Court,90,50,40.741352,-73.9780426
61,495 W End Ave,128,40,40.7875444,-73.9791921
62,430 E 89th St,20,10,40.7781719,-73.9468704
63,45 Wall St,434,336,40.7064044,-74.0098337
64,211 W 56th St,394,189,40.7655121,-73.9816622
65,100 Willoughby St,504,269,40.6920217,-73.9847946
66,30 Washington St,94,28,40.7034851,-73.9898181
67,Parkside,451,696,40.7297358,-74.0336447
68,10 E 29th St,393,95,40.7447841,-73.986174
69,605 W 42nd St,1097,492,40.7614804,-73.9986128
70,312 11th Ave,369,29,40.7451443,-74.0081805
71,15 W 61st St,167,45,40.7701937,-73.9829177
72,33 Bond St,692,266,40.6883492,-73.983241
73,250 E 30th,77,19,40.7422824,-73.9781111
76,220 E 57th St,164,32,40.7596553,-73.9668231
77,44-41 Purves St,127,81,40.7463122,-73.9406387
78,345 Main St,74,14,41.03542,-73.7615284
